word,definition
benefactor,One that gives aid, especially financial aid.
benevolence,An inclination to perform kind, charitable acts.
benign,Of a kind and gentle disposition.
bequest,The act of giving, leaving by will, or passing on to another.
berate,To rebuke or scold angrily and at length. 
bereft,A past tense and a past participle of bereave.
bewilder,To confuse or befuddle, especially with numerous conflicting situations, objects, or statements. 
bigot,One who is strongly partial to one's own group, religion, race, or politics and is intolerant of those who differ.
bilge,Nautical   The rounded portion of a ship's hull, forming a transition between the bottom and the sides.
blandishment,Flattering speech or actions designed to persuade or influence.
blandness,The state, quality, or characteristic of being bland.
blatant,Unpleasantly loud and noisy.
blithe,Carefree and lighthearted.
bogus,Counterfeit or fake; not genuine.
boisterous,Rough and stormy; violent.
bolster,A long narrow pillow or cushion.
boorish,Resembling or characteristic of a boor; rude and clumsy in behavior.
brash,Hasty and unthinking; impetuous.
brass,A yellowish alloy of copper and zinc, sometimes including small amounts of other metals, but usually 67 percent copper and 33 percent zinc.
brazen,Marked by flagrant and insolent audacity. 
breach,An opening, a tear, or a rupture.
brittle,Likely to break, snap, or crack, as when subjected to pressure.
broach,To bring up (a subject) for discussion or debate.
brook,Chiefly Northeastern U.S.   See creek. See Regional Note at run.
buoyant,Having or marked by buoyancy.
burgeon,To put forth new buds, leaves, or greenery; sprout.
burnish,To make smooth or glossy by or as if by rubbing; polish.
cabal,A conspiratorial group of plotters or intriguers.
cadge,To beg or get by begging.
cajole,To urge with gentle and repeated appeals, teasing, or flattery; wheedle.
calipers,A device used to measure thickness between two surfaces, especially for small or precise measurements.
calumny,A false statement maliciously made to injure another's reputation.
candid,Free from prejudice; impartial.
cant,Angular deviation from a vertical or horizontal plane or surface; an inclination or slope.
cantankerous,Ill-tempered and quarrelsome; disagreeable.
canvass,To examine carefully or discuss thoroughly; scrutinize.
castigate,To inflict severe punishment on. 
castigation,Corrective punishment; chastisement; reproof; pungent criticism.
catalyst,Chemistry   A substance, usually used in small amounts relative to the reactants, that modifies and increases the rate of a reaction without being consumed in the process.
caustic,Capable of burning, corroding, dissolving, or eating away by chemical action.
censure,An expression of strong disapproval or harsh criticism.
centurion,The commander of a century in the Roman army.
chary,Very cautious; wary.
chastened,Made chaste.
chastisement,The act of chastising.
chauvinist,chauvinistic.
chicanery,Deception by trickery or sophistry.
chisel,A metal tool with a sharp beveled edge, used to cut and shape stone, wood, or metal.
churl,A rude, boorish person. 
clamor,A loud outcry; a hubbub.
clientele,The clients of a professional person or practice considered as a group.
clinch,To fix or secure (a nail or bolt, for example) by bending down or flattening the pointed end that protrudes.
cling,To hold fast or adhere to something, as by grasping, sticking, embracing, or entwining.
clot,A thick, viscous, or coagulated mass or lump, as of blood.
cloture,A parliamentary procedure by which debate is ended and an immediate vote is taken on the matter under discussion. Also called closure.
coagulation,The precipitation of suspended particles as they increase in size (by any of several physical or chemical processes).
coalescing,Present participle of coalesce.
coax,To persuade or try to persuade by pleading or flattery; cajole.
coda,Music   The concluding passage of a movement or composition.
coddle,To cook in water just below the boiling point.
coerce,To force to act or think in a certain way by use of pressure, threats, or intimidation; compel.
coeval,Originating or existing during the same period; lasting through the same era.
cogent,Appealing to the intellect or powers of reasoning; convincing.
cogitate,To take careful thought or think carefully about; ponder. 
cognizant,Fully informed; conscious. 
colander,A bowl-shaped kitchen utensil with perforations for draining off liquids and rinsing food.
collusion,A secret agreement between two or more parties for a fraudulent, illegal, or deceitful purpose.
combustion,The process of burning.
commemorate,To honor the memory of with a ceremony. 
commodious,Spacious; roomy. 
commuter,One that travels regularly from one place to another, as from suburb to city and back.
complaisance,The inclination to comply willingly with the wishes of others; amiability.
compunction,A strong uneasiness caused by a sense of guilt. 
conceal,To keep from being seen, found, observed, or discovered; hide. 
conceit,A favorable and especially unduly high opinion of one's own abilities or worth.
conciliatory,willing to conciliate, or to make concessions.
concord,Harmony or agreement of interests or feelings; accord.
concur,To be of the same opinion; agree.
condense,To reduce the volume or compass of.
condone,To overlook, forgive, or disregard (an offense) without protest or censure. 
congeal,To solidify by or as if by freezing.
conjoin,To join or become joined together; unite.
connoisseur,A person with expert knowledge or training, especially in the fine arts.
connotation,The act or process of connoting.
consequential,Following as an effect, result, or conclusion; consequent.
console,To allay the sorrow or grief of. 
conspicuous,Easy to notice; obvious.
consternation,A state of paralyzing dismay. 
constrain,To compel by physical, moral, or circumstantial force; oblige.
constrict,To make smaller or narrower by binding or squeezing.
consume,To take in as food; eat or drink up. 
consummate,To bring to completion or fruition; conclude.
contemn,To view with contempt; despise. 
contentious,Given to contention; quarrelsome. 
contiguous,Sharing an edge or boundary; touching.
contrite,Feeling regret and sorrow for one's sins or offenses; penitent.
contumacious,Obstinately disobedient or rebellious; insubordinate.
conundrum,A riddle in which a fanciful question is answered by a pun.
conviction,Law   The judgment of a jury or judge that a person is guilty of a crime as charged.
convoke,To cause to assemble in a meeting; convene. 
convoluted,Having numerous overlapping coils or folds.
cordial,Warm and sincere; friendly.
cordon,A line of people, military posts, or ships stationed around an area to enclose or guard it.
cornucopia,A goat's horn overflowing with fruit, flowers, and grain, signifying prosperity. Also called horn of plenty.
corporeal,Of, relating to, or characteristic of the body. 
correlate,To put or bring into causal, complementary, parallel, or reciprocal relation.
corroboration,The act of corroborating, strengthening, or confirming; addition of strength; confirmation; as, the corroboration of an argument, or of information.
countenance,Appearance, especially the expression of the face.
counterfeit,To make a copy of, usually with the intent to defraud; forge.
countervail,To act against with equal force; counteract.
covert,Not openly practiced, avowed, engaged in, accumulated, or shown.
covetous,Excessively and culpably desirous of the possessions of another. 
cower,To cringe in fear.
coy,Tending to avoid people and social situations; reserved.
crass,So crude and unrefined as to be lacking in discrimination and sensibility.
cravat,A scarf or band of fabric worn around the neck as a tie.
craven,Characterized by abject fear; cowardly.
crease,A line made by pressing, folding, or wrinkling.
credulity,A disposition to believe too readily.
credulous,Disposed to believe too readily; gullible.
crush,To press between opposing bodies so as to break or injure.
cryptic,Having hidden meaning; mystifying. 
cumbersome,Difficult to handle because of weight or bulk. 
curmudgeon,An ill-tempered person full of resentment and stubborn notions.
curriculum,All the courses of study offered by an educational institution.
cursory,Performed with haste and scant attention to detail.
curtail,To cut short or reduce. 
dainty,Delicately beautiful or charming; exquisite.
daunt,To abate the courage of; discourage. 
dawdler,a person who dawdles or idles.
dearth,A scarce supply; a lack.
debacle,A sudden, disastrous collapse, downfall, or defeat; a rout.
decorum,Appropriateness of behavior or conduct; propriety.
decree,An authoritative order having the force of law.
decry,To condemn openly.
defer,To put off; postpone.
deferential,Marked by or exhibiting deference.
defiance,The act or an example of defying; bold resistance to an opposing force or authority.
delineate,To draw or trace the outline of; sketch out.
deluge,A great flood.
demagogue,A leader who obtains power by means of impassioned appeals to the emotions and prejudices of the populace.
demur,To voice opposition; object.
denigrate,To attack the character or reputation of; speak ill of; defame.
denouement,The final resolution or clarification of a dramatic or narrative plot.
deplete,To decrease the fullness of; use up or empty out.
deposition,The act of deposing, as from high office.
deprave,To debase, especially morally; corrupt. 
deprecate,To express disapproval of; deplore.
dereliction,Willful neglect, as of duty or principle.
derision,Contemptuous or jeering laughter; ridicule.
derivative,Resulting from or employing derivation.
derogatory,Disparaging; belittling.
descry,To catch sight of (something difficult to discern). 
desiccant,A substance, such as calcium oxide or silica gel, that has a high affinity for water and is used as a drying agent.
desuetude,A state of disuse or inactivity.
desultory,Having no set plan; haphazard or random. 
deter,To prevent or discourage from acting, as by means of fear or doubt.
detraction,The act of detracting or taking away.
detumescence,Reduction or lessening of a swelling, especially the restoration of a swollen organ or part to normal size.
deviance,Actions or behaviors that violate formal and informal cultural norms such as law and the discouragement from public nose-picking.
dexterity,Skill and grace in physical movement, especially in the use of the hands; adroitness.
diaphanous,Of such fine texture as to be transparent or translucent.
diatribe,A bitter, abusive denunciation.
diffidence,The quality or state of being diffident; timidity or shyness.
dilate,To make wider or larger; cause to expand.
disallow,To refuse to allow.
discern,To perceive with the eyes or intellect; detect.
discomfit,To make uneasy or perplexed; disconcert. 
disconcert,To upset the self-possession of; ruffle. 
discountenance,To view or treat with disfavor.
discourse,Verbal expression in speech or writing.
discredit,To damage in reputation; disgrace.
discreet,Marked by, exercising, or showing prudence and wise self-restraint in speech and behavior; circumspect.
discrete,Constituting a separate thing. 
disdain,To regard or treat with haughty contempt; despise. 
disencumber,To relieve of burdens or hardships.
disheveled,Being in loose disarray; unkempt, as hair or clothing.
disingenuous,Not straightforward or candid; insincere or calculating.
disinter,To dig up or remove from a grave or tomb; exhume.
dislodge,To remove or force out from a position or dwelling previously occupied.
dismal,Causing gloom or depression; dreary.
disparate,Fundamentally distinct or different in kind; entirely dissimilar.
disproof,The act of refuting or disproving.
dissemble,To disguise or conceal behind a false appearance. 
disseminate,To scatter widely, as in sowing seed.
dissent,To differ in opinion or feeling; disagree.
dissolution,Decomposition into fragments or parts; disintegration.
distraught,Deeply agitated, as from emotional conflict.
divergence,The act of diverging.
divestiture,An act of divesting.
divulge,To make known (something private or secret).
doggerel,Crudely or irregularly fashioned verse, often of a humorous or burlesque nature.
dogmatic,Relating to, characteristic of, or resulting from dogma.
dolt,A stupid person; a dunce.
dormant,Lying asleep or as if asleep; inactive.
dote,To show excessive fondness or love.
drawl,To speak with lengthened or drawn-out vowels.
droll,Amusingly odd or whimsically comical.
drone,A male bee, especially a honeybee, that is characteristically stingless, performs no work, and produces no honey. Its only function is to mate with the queen bee.
drowsiness,State of being drowsy.
dubious,Fraught with uncertainty or doubt; undecided.
dud,A bomb, shell, or explosive round that fails to detonate.
dulcet,Pleasing to the ear; melodious.
dupe,An easily deceived person.
duplicity,Deliberate deceptiveness in behavior or speech.
duress,Constraint by threat; coercion.
dwarf,An abnormally small person, often having limbs and features atypically proportioned or formed.
dynamo,A generator, especially one for producing direct current.
earthenware,Pottery made from a porous clay that is fired at relatively low temperatures. Faience, delft, and majolica are examples of earthenware.
ebullience,Zestful enthusiasm.
ebullient,Zestfully enthusiastic.
ecumenical,Of worldwide scope or applicability; universal.
edacious,Characterized by voracity; devouring.
eddy,A current, as of water or air, moving contrary to the direction of the main current, especially in a circular motion.
edible,Fit to be eaten, especially by humans.
effete,Depleted of vitality, force, or effectiveness; exhausted.
efficacy,Power or capacity to produce a desired effect; effectiveness.
effluvia,Plural form of effluvium.
effrontery,Brazen boldness; presumptuousness.
egress,The act of coming or going out; emergence.
elaborate,Planned or executed with painstaking attention to numerous parts or details.
elegy,A poem composed in elegiac couplets.
elicit,To bring or draw out (something latent); educe.
eloquence,Persuasive, powerful discourse.
emaciate,To make or become extremely thin, especially as a result of starvation.
embellish,To make beautiful, as by ornamentation; decorate.
embezzle,To take (money, for example) for one's own use in violation of a trust.
emote,To express emotion, especially in an excessive or theatrical manner.
empirical,Relying on or derived from observation or experiment.
encapsulate,To encase in or as if in a capsule.
encomium,Warm, glowing praise.
encumbrance,One that encumbers; a burden or impediment.
endearing,Inspiring affection or warm sympathy.
endemic,Prevalent in or peculiar to a particular locality, region, or people.
endorse,To write one's signature on the back of (a check, for example) as evidence of the legal transfer of its ownership, especially in return for the cash or credit indicated on its face.
enduring,Lasting; continuing; durable.
enervate,To weaken or destroy the strength or vitality of.
engender,To bring into existence; give rise to.
engrave,To carve, cut, or etch into a material.
engrossing,Occupying one's complete attention; wholly absorbing.
engulf,To swallow up or overwhelm by or as if by overflowing and enclosing.
enigma,One that is puzzling, ambiguous, or inexplicable.
enmity,Deep-seated, often mutual hatred.
ensign,A national flag displayed on ships and aircraft, often with the special insignia of a branch or unit of the armed forces.
entangle,To twist together or entwine into a confusing mass; snarl.
enthral,To hold spellbound; to bewitch, charm or captivate.
entice,To attract by arousing hope or desire; lure.
entreat,To make an earnest request of.
enunciate,To pronounce; articulate.
enzyme,Any of numerous proteins or conjugated proteins produced by living organisms and functioning as biochemical catalysts.
epicurean,Devoted to the pursuit of sensual pleasure, especially to the enjoyment of good food and comfort.
epistle,A letter, especially a formal one. 
epithet,A term used to characterize a person or thing, such as rosy-fingered in rosy-fingered dawn or the Great in Catherine the Great.
epitome,A representative or perfect example of a class or type.
equable,Unvarying; steady.
equanimity,The quality of being calm and even-tempered; composure.
equilibrium,A condition in which all acting influences are canceled by others, resulting in a stable, balanced, or unchanging system.
equipoise,Equality in distribution, as of weight, relationship, or emotional forces; equilibrium.
equivocal,Open to two or more interpretations and often intended to mislead; ambiguous. 
equivocate,To use equivocal language intentionally.
eradicate,To tear up by the roots.
erratic,Having no fixed or regular course; wandering.
erudite,Characterized by erudition; learned. 
eschew,To avoid; shun. 
esoteric,Intended for or understood by only a particular group.
espouse,To take in marriage; marry.
eulogy,A laudatory speech or written tribute, especially one praising someone who has died.
euphoria,A feeling of great happiness or well-being.
euthanasia,The act or practice of ending the life of an individual suffering from a terminal illness or an incurable condition, as by lethal injection or the suspension of extraordinary medical treatment.
evasive,Inclined or intended to evade.
evince,To show or demonstrate clearly; manifest.
evoke,To summon or call forth.
excoriation,The act of excoriating or flaying.
exculpate,To clear of guilt or blame.
exhaustive,Treating all parts or aspects without omission; thorough.
exigency,The state or quality of requiring much effort or immediate action.
exoneration,An act of disburdening, discharging, or freeing morally from a charge or imputation.
exorbitant,Exceeding all bounds, as of custom or fairness.
expatiate,To speak or write at length.
expedient,Appropriate to a purpose.
expiation,The act of expiating; atonement.
exploit,An act or deed, especially a brilliant or heroic one. 
expostulate,To reason earnestly with someone in an effort to dissuade or correct; remonstrate. 
expurgate,To remove erroneous, vulgar, obscene, or otherwise objectionable material from (a book, for example) before publication.
exscind,To cut out; excise.
extant,Still in existence; not destroyed, lost, or extinct.
extempore,Spoken, carried out, or composed with little or no preparation or forethought. 
extenuate,To lessen or attempt to lessen the magnitude or seriousness of, especially by providing partial excuses. 
extinct,No longer existing or living.
extinguish,To put out (a fire, for example); quench.
extirpate,To pull up by the roots.
extol,To praise highly; exalt. 
extort,To obtain from another by coercion or intimidation.
extralegal,Not permitted or governed by law.
extricable,able to be extricated.
extrovert,An extroverted person.
exuberance,The quality or condition of being exuberant.
facetious,Playfully jocular; humorous.
facile,Done or achieved with little effort or difficulty; easy. 
fallacious,Containing or based on a fallacy.
falter,To be unsteady in purpose or action, as from loss of courage or confidence; waver. 
fatuous,Foolish or silly, especially in a smug or self-satisfied way.
fawn,To exhibit affection or attempt to please, as a dog does by wagging its tail, whining, or cringing.
feckless,Lacking purpose or vitality; feeble or ineffective.
fecund,Capable of producing offspring or vegetation; fruitful.
feint,A feigned attack designed to draw defensive action away from an intended target.
felicitous,Admirably suited; apt.
felon,Law   One who has committed a felony.
ferment,Something, such as a yeast, bacterium, mold, or enzyme, that causes fermentation.
ferocity,The state or quality of being ferocious; fierceness.
ferret,A weasellike, usually albino mammal (Mustela putorius furo) related to the polecat and often trained to hunt rats or rabbits.
fervid,Marked by great passion or zeal.
fervor,Great warmth and intensity of emotion. 
fetid,Having an offensive odor.
fetter,A chain or shackle for the ankles or feet.
feud,A bitter, often prolonged quarrel or state of enmity, especially such a state of hostilities between two families or clans.
fidelity,Faithfulness to obligations, duties, or observances.
fidget,To behave or move nervously or restlessly.
figurehead,A carved figure on the prow of a ship.
finesse,Refinement and delicacy of performance, execution, or artisanship.
finical,Finicky.
finicky,Insisting capriciously on getting just what one wants; difficult to please; fastidious.
fission,The act or process of splitting into parts.
fixate,To make fixed, stable, or stationary.
flak,Antiaircraft artillery.
flamboyant,Highly elaborate; ornate.
flaunting,Present participle of flaunt.
flax,A widely cultivated plant, Linum usitatissimum, having pale blue flowers, seeds that yield linseed oil, and slender stems from which a textile fiber is obtained.
fledged,Simple past tense and past participle of fledge.
fleet,A number of warships operating together under one command.
flinch,To start or wince involuntarily, as from surprise or pain.
flop,To fall or lie down heavily and noisily.
florid,Flushed with rosy color; ruddy.
flout,To show contempt for; scorn.
fluke,Any of various flatfishes, especially a flounder of the genus Paralichthys.
fluster,To make or become nervous or upset.
foible,A minor weakness or failing of character.
foil,To prevent from being successful; thwart.
foment,To promote the growth of; incite.
foolproof,Designed so as to be impervious to human incompetence, error, or misuse.
foppish,Of, relating to, or characteristic of a fop; dandified.
forage,Food for domestic animals; fodder.
forbear,To refrain from; resist.
forbearance,The act of forbearing.
ford,A shallow place in a body of water, such as a river, where one can cross by walking or riding on an animal or in a vehicle.
forestall,To delay, hinder, or prevent by taking precautionary measures beforehand. 
forfeit,Something surrendered or subject to surrender as punishment for a crime, an offense, an error, or a breach of contract.
forge,A furnace or hearth where metals are heated or wrought; a smithy.
forgery,The act of forging, especially the illegal production of something counterfeit.
forswear,To renounce or repudiate under oath.
foster,To bring up; nurture.
fracas,A noisy, disorderly fight or quarrel; a brawl. 
fragile,Easily broken, damaged, or destroyed; frail.
fragrant,Having a pleasant odor.
frantic,Highly excited with strong emotion or frustration; frenzied.
frenetic,Wildly excited or active; frantic; frenzied.
fret,To cause to be uneasy; vex.
fringe,A decorative border or edging of hanging threads, cords, or strips, often attached to a separate band.
froward,Stubbornly contrary and disobedient; obstinate.
frugal,Practicing or marked by economy, as in the expenditure of money or the use of material resources. 
fulmination,The act of fulminating or exploding; detonation.
fulsome,Offensively flattering or insincere. 
gainsay,To declare false; deny. 
garble,To mix up or distort to such an extent as to make misleading or incomprehensible.
garment,An article of clothing.
garner,To gather and store in or as if in a granary.
garrulity,Excessive talkativeness; loquaciousness.
garrulous,Given to excessive and often trivial or rambling talk; tiresomely talkative.
gaucherie,An awkward or tactless act, manner, or expression.
germane,Being both pertinent and fitting. 
gist,The central idea; the essence. 
glean,To gather grain left behind by reapers.
glib,Performed with a natural, offhand ease.
glimmer,A dim or intermittent flicker or flash of light.
gloat,To feel or express great, often malicious, pleasure or self-satisfaction.
glut,To fill beyond capacity, especially with food; satiate.
gnaw,To bite, chew on, or erode with the teeth.
goad,A long stick with a pointed end used for prodding animals.
gorge,A deep narrow passage with steep rocky sides; a ravine.
gossamer,A soft sheer gauzy fabric.
gouge,A chisel with a rounded, troughlike blade.
grandiloquent,overly wordy, pompous, flowery, or elaborate.
grave,An excavation for the interment of a corpse.
graze,To feed on growing grasses and herbage.
gregarious,Seeking and enjoying the company of others; sociable. 
grievous,Causing grief, pain, or anguish.
grovel,To behave in a servile or demeaning manner; cringe.
guile,Treacherous cunning; skillful deceit.
gullible,Easily deceived or duped.
gush,To flow forth suddenly in great volume.
gust,A strong, abrupt rush of wind.
hack,To cut or chop with repeated and irregular blows.
halcyon,A kingfisher, especially one of the genus Halcyon.
hallow,To make or set apart as holy.
harangue,A long pompous speech, especially one delivered before a gathering.
harbinger,One that indicates or foreshadows what is to come; a forerunner.
harrow,A farm implement consisting of a heavy frame with sharp teeth or upright disks, used to break up and even off plowed ground.
haughty,Scornfully and condescendingly proud. 
heed,To pay attention to; listen to and consider.
heinous,Grossly wicked or reprehensible; abominable.
heresy,An opinion or a doctrine at variance with established religious beliefs, especially dissension from or denial of Roman Catholic dogma by a professed believer or baptized church member.
hermetic,Completely sealed, especially against the escape or entry of air.
heterogeneous,Consisting of dissimilar elements or parts; not homogeneous. 
hew,To make or shape with or as if with an ax.
highbrow,Of, relating to, or being highly cultured or intellectual.
hirsute,Covered with hair; hairy.
hoax,An act intended to deceive or trick.
hoi,In Hawaii and Tahiti, the common yam, Dioscorea sativa. Before the introduction of the potato it was cultivated for the supply of ships.
hollow,Having a cavity, gap, or space within.
holster,A case of leather or similar material into which a pistol fits snugly and which attaches to a belt, strap, or saddle so that it may be carried or transported.
homiletics,The art of preaching.
hone,A fine-grained whetstone for giving a keen edge to a cutting tool.
hoodwink,To take in by deceptive means; deceive. 
hospitable,Disposed to treat guests with warmth and generosity.
hubris,Overbearing pride or presumption; arrogance.
hush,To make silent or quiet.
husk,The outer membranous or green envelope of some fruits or seeds, as that of a walnut or an ear of corn.
hypocrisy,The practice of professing beliefs, feelings, or virtues that one does not hold or possess; falseness.
iconoclast,One who attacks and seeks to overthrow traditional or popular ideas or institutions.
idiosyncrasy,A structural or behavioral characteristic peculiar to an individual or group.
idolatry,Worship of idols.
idyll,A short poem or prose piece depicting a rural or pastoral scene, usually in idealized terms.
ignoble,Not noble in quality, character, or purpose; base or mean. 
ignominious,Marked by shame or disgrace.
illicit,Not sanctioned by custom or law; unlawful.
imbroglio,A difficult or intricate situation; an entanglement.
immaculate,Impeccably clean; spotless. 
imminent,About to occur; impending.
immutable,Not subject or susceptible to change.
impair,To cause to diminish, as in strength, value, or quality.
impassive,Devoid of or not subject to emotion.
impecunious,Lacking money; penniless. 
impede,To retard or obstruct the progress of. 
impediment,Something that impedes; a hindrance or obstruction. 
impending,Approaching; drawing near; about to happen.
imperative,Expressing a command or plea; peremptory.
imperious,Arrogantly domineering or overbearing. 
impermeable,Impossible to permeate.
imperturbable,Unshakably calm and collected. 
impervious,Incapable of being penetrated.
imperviousness,the state of being impervious.
impetuous,Characterized by sudden and forceful energy or emotion; impulsive and passionate.
impiety,The quality or state of being impious.
implacable,Impossible to placate or appease.
implicate,To involve or connect intimately or incriminatingly.
implicit,Implied or understood though not directly expressed.
implosion,A violent collapse inward, as of a highly evacuated glass vessel.
importune,To beset with insistent or repeated requests; entreat pressingly.
imprecation,The act of imprecating.
impromptu,Prompted by the occasion rather than being planned in advance.
impudent,Characterized by offensive boldness; insolent or impertinent. 
impugned,Simple past tense and past participle of impugn.
impute,To relate to a particular cause or source; attribute the fault or responsibility to.
inadvertent,Not duly attentive.
inane,One that lacks sense or substance.
inasmuch,See inasmuch as.
incense,To cause to be extremely angry; infuriate.
incessant,Continuing without interruption. 
inchoate,In an initial or early stage; incipient.
incipient,Beginning to exist or appear.
incise,To cut into, as with a sharp instrument.
incite,To provoke and urge on.
inclined,Sloping, slanting, or leaning.
incongruous,Lacking in harmony; incompatible.
incorrigibility,The condition of being incorrigible.
incredulous,Skeptical; disbelieving.
inculcate,To impress (something) upon the mind of another by frequent instruction or repetition; instill.
incumbents,Plural form of incumbent.
incursion,An aggressive entrance into foreign territory; a raid or invasion.
indefatigability,Tirelessness; persistence; stamina.
indelible,Impossible to remove, erase, or wash away; permanent.
indigence,Poverty; neediness.
indigenous,Originating and living or occurring naturally in an area or environment. 
indistinct,Not clearly or sharply delineated.
indolence,Habitual laziness; sloth.
indomitable,Incapable of being overcome, subdued, or vanquished; unconquerable.
indulge,To yield to the desires and whims of, especially to an excessive degree; humor.
indulgent,Showing, characterized by, or given to indulgence; lenient.
ineffable,Incapable of being expressed; indescribable or unutterable. 
ineluctable,Not to be avoided or escaped; inevitable.
inept,Not apt or fitting; inappropriate.
ineptitude,The quality of being inept; ineptness.
inferno,A place or condition suggestive of hell, especially with respect to human suffering or death.
infuriate,To make furious; enrage.
infuse,To put into or introduce as if by pouring.
ingenuous,Lacking in cunning, guile, or worldliness; artless.
ingest,To take into the body by the mouth for digestion or absorption. 
inimical,Injurious or harmful in effect; adverse.
inimitable,Defying imitation; matchless.
innocuous,Having no adverse effect; harmless.
inscrutable,Difficult to fathom or understand; impenetrable. 
insensible,Imperceptible; inappreciable.
